Symbol,Sector,holidays
MIDHANI-EQ,Metals & Mining,
MINDAIND-EQ,NO DATA,
MINDTECK-EQ,Software & IT Services,
MINDTREE-EQ,Biotechnology & Medical Research,
MIRZAINT-EQ,Textiles & Apparel,
MITTAL-EQ,Textiles & Apparel,
MMFL-EQ,Metals & Mining,
MMP-EQ,Metals & Mining,
MOIL-EQ,Metals & Mining,
MOLDTKPAC-EQ,Containers & Packaging,
MONTECARLO-EQ,Textiles & Apparel,
MOREPENLAB-EQ,Pharmaceuticals,
MOTHERSUMI-EQ,NO DATA,
MPSLTD-EQ,Media & Publishing,
MSPL-EQ,Metals & Mining,
MSTCLTD-EQ,Software & IT Services,
MTEDUCARE-EQ,Miscellaneous Educational Service Providers,
MTNL-EQ,Telecommunications Services,
MUKANDENGG-EQ,NO DATA,
MUKANDLTD-EQ,Metals & Mining,
MUKTAARTS-EQ,Media & Publishing,
MUNJALAU-EQ,Automobiles & Auto Parts,
MUNJALSHOW-EQ,Automobiles & Auto Parts,
MURUDCERA-EQ,Homebuilding & Construction Supplies,
MUTHOOTCAP-EQ,Banking Services,
NACLIND-EQ,Chemicals,
NAGREEKCAP-EQ,Investment Banking & Investment Services,
NAGREEKEXP-EQ,Textiles & Apparel,
NAHARCAP-EQ,Banking Services,
NAHARPOLY-EQ,Containers & Packaging,
NAM-INDIA-EQ,Investment Banking & Investment Services,
NATHBIOGEN-EQ,Food & Tobacco,
NAVKARCORP-EQ,Freight & Logistics Services,
NAVNETEDUL-EQ,Media & Publishing,
NBIFIN-EQ,Investment Banking & Investment Services,
NBVENTURES-EQ,NO DATA,
NCLIND-EQ,Construction Materials,
NDGL-EQ,Investment Banking & Investment Services,
NDL-EQ,Textiles & Apparel,
NDRAUTO-EQ,Automobiles & Auto Parts,
NDTV-EQ,Media & Publishing,
NECCLTD-EQ,Freight & Logistics Services,
NECLIFE-EQ,Pharmaceuticals,
NELCAST-EQ,Metals & Mining,
NELCO-EQ,Communications & Networking,
NEOGEN-EQ,Chemicals,
NESCO-EQ,Real Estate Operations,
NFL-EQ,Chemicals,
NIITLTD-EQ,Professional & Commercial Services,
NILKAMAL-EQ,Chemicals,
NIPPOBATRY-EQ,"Machinery, Equipment & Components",
NITCO-EQ,Homebuilding & Construction Supplies,
NOCIL-EQ,Chemicals,
NORBTEAEXP-EQ,Food & Tobacco,
NOVARTIND-EQ,NO DATA,
NRAIL-EQ,Paper & Forest Products,
NRBBEARING-EQ,"Machinery, Equipment & Components",
NSIL-EQ,Banking Services,
NTL-EQ,Real Estate Operations,
NUCLEUS-EQ,Software & IT Services,
NXTDIGITAL-EQ,NO DATA,
OAL-EQ,Chemicals,
OCCL-EQ,Chemicals,
OMAXAUTO-EQ,Automobiles & Auto Parts,
OMAXE-EQ,Real Estate Operations,
OMMETALS-EQ,NO DATA,
ONMOBILE-EQ,Software & IT Services,
ONWARDTEC-EQ,Software & IT Services,
ORBTEXP-EQ,Textiles & Apparel,
ORIENTABRA-EQ,NO DATA,
ORIENTALTL-EQ,Construction Materials,
ORIENTBELL-EQ,Homebuilding & Construction Supplies,
ORIENTCEM-EQ,Construction Materials,
ORIENTELEC-EQ,Household Goods,
ORIENTHOT-EQ,Hotels & Entertainment Services,
ORIENTLTD-EQ,Containers & Packaging,
ORIENTPPR-EQ,Paper & Forest Products,
ORIENTREF-EQ,NO DATA,
ORISSAMINE-EQ,Metals & Mining,
OSWALAGRO-EQ,Investment Banking & Investment Services,
